date,location,numbers
3/31/20,Jakarta,41
3/31/20,West Java,16
3/31/20,Banten,14
3/31/20,Central Java,13
3/31/20,North Sumatra,6
3/31/20,Yogyakarta,5
3/31/20,East Kalimantan,3
3/31/20,South Sumatra,3
3/31/20,Central Kalimtan,2
3/31/20,South Kalimantan,2
3/31/20,East Java,2
3/31/20,East Nusa Tenggara,2
3/31/20,Bangka Belitung,1
3/31/20,Bengkulu,1
3/30/20,West Java,25
3/30/20,Jakarta,24
3/30/20,Banten,22
3/30/20,Central Java,17
3/30/20,Bali,9
3/30/20,North Sumatra,5
3/30/20,Lampung,4
3/30/20,South Kalimantan,4
3/30/20,South Sulawesi,4
3/30/20,West Sumatra,3
3/30/20,Bangka Belitung,1
3/30/20,East Java,1
3/30/20,Jambi,1
3/30/20,West Kalimantan,1
3/30/20,Riau,1
3/30/20,Riau Islands,1
3/30/20,Yogyakarta,1
3/29/20,Jakarta,48
3/29/20,West Java,30
3/29/20,South Sulawesi,15
3/29/20,East Java,13
3/29/20,Central Java,8
3/29/20,West Kalimantan,5
3/29/20,Banten,3
3/29/20,Papua,2
3/29/20,Bali,1
3/29/20,Riau,1
3/29/20,West Sulawesi,1
3/2/20,Depok,2
3/6/20,Jakarta,2
3/8/20,Jakarta,2
3/10/20,Bali,1
3/13/20,Banten,1
3/13/20,Jakarta,1
3/13/20,Yogyakarta,1
3/13/20,Central Java,1
3/14/20,Jakarta,1
3/15/20,Jakarta,19
3/15/20,Central Java,2
3/16/20,Jakarta,14
3/16/20,Banten,1
3/16/20,Central Java,1
3/16/20,West Java,1
3/17/20,Central Java,1
3/17/20,East Java,6
3/17/20,Riau Islands,1
3/18/20,Jakarta,30
3/18/20,West Java,12
3/18/20,Banten,4
3/18/20,Central Java,2
3/18/20,North Sumatra,1
3/18/20,Lampung,1
3/18/20,Riau,1
3/18/20,East Kalimantan,1
3/18/20,Yogyakarta,1
3/18/20,"30 in Jakarta, 12 in West Java, 4 in Banten, 2 in Central Java, 1 in North Sumatra, 1 in Lampung, 1 in Riau, 1 in East Kalimantan, 1 in Yogyakarta",
3/19/20,"50 in Jakarta, 18 in Banten, 4 in West Java, 3 in Central Java, 3 in South East Sulawesi, 2 in Yogyakarta, 2 in South Sulawesi, 2 in East Kalimantan, 2 in Riau Islands, 1 in East Java, 1 in North Sumatra, 1 in Riau",
3/20/20,"15 in West Java, 10 in Banten, 7 in East Kalimantan, 6 in East Java, 5 in Jakarta, 3 in Bali, 2 in Central Kalimantan, 2 in Riau Islands",
3/21/20,"44 in Jakarta, 14 in West Java, 11 in East Java, 4 in Banten, 2 in Central Java, 1 in Yogyakarta",
3/22/20,"39 in Jakarta, 15 in East Java, 4 in Banten, 4 in West Java, 2 in Papua, 1 in Central Java, 1 in Maluku",
3/23/20,"46 in Jakarta, 9 in Banten, 3 in Bali, 2 in East Kalimantan, 1 in Jambi, 1 in North Maluku, 1 in Riau Islands",
3/24/20,"71 in Jakarta, 10 in East Java, 9 in Banten, 5 in North Sumatra, 4 in Central Java, 2 in South Sulawesi, 1 in West Java, 1 in Papua, 1 in Yogyakarta, 1 in West Nusa Tenggara, 1 in South Sumatra, 1 in Central Kalimantan, 1 in West Kalimantan, 1 in South Kalimantan",
3/25/20,"39 in Jakarta, 19 in Central Java, 13 in West Java, 11 in Yogyakarta, 9 in South Sulawesi, 3 in Bali, 2 in Banten, 1 in Riau, 1 in West Nusa Tenggara",
3/26/20,"53 in Jakarta, 14 in South Sulawesi, 8 in East Java, 5 in West Java, 4 in Papua, 3 in West Sumatra, 2 in Central Java, 2 in Central Kalimantan, 2 in Lampung, 1 in Aceh, 1 in Central Sulawesi, 1 in Riau",
3/27/20,"83 in Jakarta, 20 in West Java, 17 in Banten, 7 in East Java, 6 in Yogyakarta, 3 in Aceh, 2 in Central Java, 2 in West Sumatra, 2 in South Sulawesi, 2 in West Papua, 1 in Lampung",
3/28/20,"38 in Jakarta, 21 in West Java, 12 in Central Java, 11 in East Java, 10 in Banten, 6 in East Kalimantan, 4 in South Sulawesi, 2 in North Kalimantan, 1 in Central Kalimantan, 1 in Central Sulawesi, 1 in South Sumatra",